title	content
通往死城老北川 ：5·12大地震纪念01	体育馆里一片或蓝或灰的帐篷，人们静静地坐着，孩子们环绕四周，似乎并无异常。后来我知道，其中以北川人为最多。胳膊上套着红袖章的上海心理咨询师顾恺颉，在人群里走着，不时俯下身去和灾民交流，慢慢地，一些看似平静的人哭出声来。
汉旺十年：不再深究，也不再深痛	罗云太和他厂子里的60多名职工，见证了汉旺镇震后的整个十年。他们与镇上近万人同样承受了失亲之痛，和老镇6万居民一起搬到新城、重拾生活，也是汉旺震后经济重建的见证与参与者。十年过后，人们“怨也不再怨了，气也不再气了，都是大自然。就抱着这个心态，不再深究，也不再深痛，也不再去回忆了。”
女人三十	张宁宁32岁，来北京13年，工资增加了4倍多，历经7任老板，前4个挑了她，后3个她选的人家。单身，她有一次几乎要结婚，也有一次失恋后，整个人“破碎”得差点站不起来。她的微信通讯录膨胀着3200人，能聊心事的朋友一只手能数得过来。她仍买不起房…
鸟，突然开口了	在北京，养鸟的人很多，多数都是上点年纪的。早晨总有人拎着鸟笼子，到街边遛跶，这叫遛鸟。遛到公园，通常是把鸟笼子挂在树上，鸟晒晒太阳，人也晒晒太阳，活动筋骨。普通人没钱，养的多是土百灵，都一个摸样，比麻雀大点，灰不拉唧，也不怎么叫。形式上讲是一个关在笼子里的生命，也是鸟笼子外主人的一个玩物，一个寄托。
一碗浆水面	冬天来了，姚悦的母亲将墙头晾晒了好几个月的萝卜叶子一串串收回笸箩。她要在晴好的日子里，制作一缸酸菜。炝过的浆水被大火烧开，舀入大盆置于锅边。锅内再煮沸水，巧媳妇们擀好的长面条一绺绺投入锅中，一绺绺被打捞入碗。每碗面条分量相等。浇上浆水，黄黄的油花簇着绿绿的菜叶，浮在白白的面条之上，汤面分明、清冽温婉。
奥数天才坠落之后	付云皓——这个曾占领IMO（国际数学奥林匹克竞赛）高点的、备受期待的奥数天才——在接下来的十五年中，意外地在学术界消失了。天赋曾经给付云皓带来过好运气，又让他在之后的人生中吃尽苦头。他总还存有几分比较的意思。“当年在他身后的那些同龄人，现在有些人已经走在他的前面”。
布拖大桥杀人事件	在大凉山深处，海拔两千米的布拖县城，17岁的彝族少年赤尔有自己的娱乐方式：他喜欢看电影、玩游戏，在本子上涂涂画画；一会儿自称“爱新觉罗”家族，一会儿称自己姓“狗日”——其实他叫“格日赤尔”，身份证登记时错录成了 “苟日赤尔”。
演员前传	卧室的镜子前，卢珊轻轻抿了一下双唇，一丝不苟地勾画妆容，黑色长发盖过她的肩膀。遮盖好黑眼圈后，她睁大眼睛，开始勾勒眼睫毛。脸颊那里有点瑕疵，她用毛刷沾上脂粉扫了几下。“眉毛是重中之重。”她像在提醒自己，失败的眉毛可以毁掉整个妆容。
米脂无差别杀人事件	赵泽伟被反剪着双手押到“城隍庙巷”的巷口时，人群围了上来，许多人哭了，他们想冲上去，被警察拦住。鲜血顺着赵泽伟的衣服落到地面上，有些是他的，有些是被害学生的。一个13岁的女孩就倒在他的一侧，失血过多后，人脸会变得蜡黄，让目击者们事后再无法忘掉。
帕米尔高原上的嘻哈青年	在喀什的一家小酒馆里，我第一次见到了萨尔曼。他今年25岁，打扮很酷，一米八多的个子，扎着小辫，衣袖挽了起来，露出前臂上的花体英文纹身。他戴着一串白色的玉石项链，除了四枚戒指外，左手手腕上还有一只老鹰的纯银饰品——鹰是高原塔吉克族的象征。
